isolate,otu,mode,ehb,species,replicate,total.count,germ.total.count,germ.total.prop,col.total.count,col.total.prop,col.1.count,col.1.prop,col.2.count,col.2.prop,col.3.count,col.3.prop,col.4.count,col.4.prop,col.combined.total,col.combined.prop,ungerm.total.count,germ.2wk.count,germ.2wk.prop,germ.3wk.count,germ.3wk.prop,germ.4wk.count,germ.4wk.prop,germ.5wk.count,germ.5wk.prop,germ.6wk.count,germ.6wk.prop,germ.7wk.count,germ.7wk.prop,viable.7wk.count,viable.7wk.total,viable.7wk.prop
control,NA,NA,NA,Apeiba_tibourbou,3,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,2,0.1,3,0.15,3,0.15,4,0.2,4,0.2,5,0.25,15,15,1
control,NA,NA,NA,Apeiba_tibourbou,4,20,1,0.05,1,0.05,1,0.05,0,0,0,0,0,0,1,0.01,19,1,0.05,1,0.05,1,0.05,1,0.05,1,0.05,1,0.05,18,18,1
control,NA,NA,NA,Apeiba_tibourbou,5,20,0,0,4,0.2,4,0.2,0,0,0,0,0,0,4,0.05,20,1,0.05,1,0.05,1,0.05,1,0.05,1,0.05,1,0.05,18,18,1
control,NA,NA,NA,Apeiba_tibourbou,6,20,3,0.15,0,0,0,0,0,0,0,0,0,0,0,0,17,1,0.06,3,0.18,3,0.18,4,0.24,4,0.24,5,0.29,11,11,1
control,NA,NA,NA,Apeiba_tibourbou,7,20,0,0,2,0.1,2,0.1,0,0,0,0,0,0,2,0.03,20,1,0.05,1,0.05,1,0.05,1,0.05,1,0.05,1,0.05,19,19,1
control,NA,NA,NA,Apeiba_tibourbou,8,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,1,0.05,3,0.15,3,0.15,3,0.15,3,0.15,17,17,1
control,NA,NA,NA,Apeiba_tibourbou,9,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,1,0.05,1,0.05,2,0.1,3,0.15,3,0.15,3,0.15,17,17,1
control,NA,NA,NA,Apeiba_tibourbou,10,20,0,0,1,0.05,1,0.05,0,0,0,0,0,0,1,0.01,20,1,0.05,4,0.2,4,0.2,4,0.2,5,0.25,5,0.25,18,18,1
control,NA,NA,NA,Cecropia_longipes,1,20,0,0,1,0.05,1,0.05,0,0,0,0,0,0,1,0.01,20,11,0.55,11,0.55,11,0.55,12,0.6,13,0.65,13,0.65,7,7,1
control,NA,NA,NA,Cecropia_longipes,2,20,0,0,6,0.3,6,0.3,0,0,0,0,0,0,6,0.08,20,14,0.7,14,0.7,14,0.7,15,0.75,15,0.75,16,0.8,3,4,0.75
control,NA,NA,NA,Cecropia_longipes,3,20,0,0,7,0.35,7,0.35,0,0,0,0,0,0,7,0.09,20,13,0.65,15,0.75,15,0.75,15,0.75,15,0.75,15,0.75,5,5,1
control,NA,NA,NA,Cecropia_longipes,4,20,0,0,6,0.3,6,0.3,0,0,0,0,0,0,6,0.08,20,16,0.8,16,0.8,16,0.8,16,0.8,16,0.8,16,0.8,2,4,0.5
control,NA,NA,NA,Cecropia_longipes,5,20,0,0,8,0.4,8,0.4,0,0,0,0,0,0,8,0.1,20,17,0.85,17,0.85,17,0.85,17,0.85,17,0.85,19,0.95,1,1,1
control,NA,NA,NA,Cecropia_longipes,6,20,0,0,1,0.05,1,0.05,0,0,0,0,0,0,1,0.01,20,13,0.65,13,0.65,13,0.65,13,0.65,13,0.65,13,0.65,6,7,0.86
control,NA,NA,NA,Cecropia_longipes,7,20,0,0,2,0.1,2,0.1,0,0,0,0,0,0,2,0.03,20,13,0.65,15,0.75,15,0.75,16,0.8,16,0.8,18,0.9,2,2,1
control,NA,NA,NA,Cecropia_longipes,8,20,0,0,2,0.1,2,0.1,0,0,0,0,0,0,2,0.03,20,15,0.75,18,0.9,18,0.9,18,0.9,18,0.9,18,0.9,1,2,0.5
control,NA,NA,NA,Cecropia_longipes,9,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,15,0.75,15,0.75,15,0.75,15,0.75,15,0.75,16,0.8,3,4,0.75
control,NA,NA,NA,Cecropia_longipes,10,20,0,0,5,0.25,5,0.25,0,0,0,0,0,0,5,0.06,20,18,0.9,18,0.9,18,0.9,19,0.95,19,0.95,19,0.95,1,1,1
control,NA,NA,NA,Cecropia_peltata,1,20,0,0,1,0.05,1,0.05,0,0,0,0,0,0,1,0.01,20,2,0.1,2,0.1,2,0.1,2,0.1,2,0.1,3,0.15,10,17,0.59
control,NA,NA,NA,Cecropia_peltata,2,20,0,0,4,0.2,4,0.2,0,0,0,0,0,0,4,0.05,20,6,0.3,6,0.3,6,0.3,6,0.3,6,0.3,6,0.3,4,13,0.31
control,NA,NA,NA,Cecropia_peltata,3,20,0,0,1,0.05,1,0.05,0,0,0,0,0,0,1,0.01,20,7,0.35,7,0.35,7,0.35,7,0.35,7,0.35,7,0.35,2,13,0.15
control,NA,NA,NA,Cecropia_peltata,4,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,4,0.2,4,0.2,4,0.2,4,0.2,4,0.2,4,0.2,2,16,0.13
control,NA,NA,NA,Cecropia_peltata,5,20,0,0,11,0.55,11,0.55,0,0,0,0,0,0,11,0.14,20,8,0.4,8,0.4,8,0.4,8,0.4,8,0.4,10,0.5,3,10,0.3
control,NA,NA,NA,Cecropia_peltata,6,20,0,0,1,0.05,1,0.05,0,0,0,0,0,0,1,0.01,20,1,0.05,1,0.05,1,0.05,1,0.05,1,0.05,1,0.05,10,19,0.53
control,NA,NA,NA,Cecropia_peltata,7,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,6,0.3,6,0.3,6,0.3,6,0.3,6,0.3,6,0.3,1,18,0.06
